review,BATTERY,CAMERA,GENERAL,SER&ACC,PERFORMANCE,DESIGN,FEATURES,PRICE,SCREEN,STORAGE
Cảm ứng vân tay 80% không được,,,,,,,negative,,,
Video hiển thị không đẹp,,,,,,,,,negative,
Máy ảnh bình thường,,neutral,,,,,,,,
vô đối trong phân khúc,,,positive,,,,,,,
dưới 10.000.000đ,,,,,,,,neutral,,
Máy mượt,,,,,positive,,,,,
pin xài hoài không hết,positive,,,,,,,,,
Nhân viên phục vụ tốt,,,,positive,,,,,,
"máy dùng mượt và ổn định, chíp snap 855 dùng chơi game quá đỉnh",,,,,positive,,,,,
nói chung hài lòng,,,positive,,,,,,,
Máy đẹp,,,,,,positive,,,,
mướt nhanh,,,,,positive,,,,,
tt pin còn có 99% nữa trong khi ng khác mua máy cũ cả năm tình trạng pin vẫn 100%,negative,,,,,,,,,
Sản phẩm rất ok,,,positive,,,,,,,
mượt,,,,,positive,,,,,
Thiết kế đẹp mắt,,,,,,positive,,,,
Chất lưong sản phẩm rất ok,,,positive,,,,,,,
Hàng chính hãng 100%,,,,positive,,,,,,
Giá cả hợp lý cho một sản phẩm như vâyh,,,,,,,,positive,,
"Máy xài bao mượt, mình dùng chơi Pokemon Ultra Sun trên 3DS full fps bao ngon",,,,,positive,,,,,
"Camera sắc nét, quay video ko bị rung lắc",,positive,,,,,,,,
Con Snapdragon 855 không chê vào đâu được rồi,,,,,positive,,,,,
do dùng mặt lưng nhựa nên mình khá an tâm khi va chạm rơi rớt,,,,,,positive,,,,
con 7plus hôm qua đem về nhà còn 34% sáng nay tụt hẳn còn 8%,negative,,,,,,,,,
so vs con 7plus 2 năm trước thì năm nay quá tệ,,,negative,,,,,,,
game thi tầm 4h là còn 30%,neutral,,,,,,,,,
máy dùng mượt các tác vụ,,,,,positive,,,,,
pin ok,positive,,,,,,,,,
Chất lượng camera cả trước lẫn sau ko như quảng cáo,,negative,,,,,,,,
"Sao lúc m chụp hình không sao, cứ gọi video là bị mờ ls ạ",,neutral,,,,,,,,
Sản phẩm tốt sử dụng khá lâu,,,positive,,,,,,,
Phụ kiện đi kèm đầy đủ và tốt,,,,positive,,,,,,
"Đúng là cập nhật lên bản mới nhất rất tệ , nóng máy",,,,,negative,,,,,
ốn pin kinh khủng,negative,,,,,,,,,
"pin trâu lắm đọc báo lướt web bằng wifi thì 10' mới sụt 1% , còn lướt 4G thì 7-8' tốn 1% pin",positive,,,,,,,,,
thề ko bao giờ nâng cấp phần mềm lần nào nữa,,,,,negative,,,,,
thấy ko được mượt lắm,,,,,negative,,,,,
moị thứ tạm ổn,,,neutral,,,,,,,
cam ko được đẹp,,negative,,,,,,,,
hiệu năng tạm,,,,,neutral,,,,,
thiết kế bắt mắt,,,,,,positive,,,,
èm dung lượng pin lớn sài thoải mái gần cả 2 ngày,positive,,,,,,,,,
Camera chụp ảnh cực rõ nét,,positive,,,,,,,,
Nhân viên dễ thương nói chung rất hài lòng,,,,positive,,,,,,
Quá tốt,,,positive,,,,,,,
camera ngon,,positive,,,,,,,,
pin hoi ít,negative,,,,,,,,,
chip cũng được,,,,,neutral,,,,,
pin xài ko lâu cho lắm,negative,,,,,,,,,
Sản phẩm tốt,,,positive,,,,,,,
Nhân viên phục vụ nhiệt tình. Rất hài lòng vối dịch vụ của Điện máy xanh,,,,positive,,,,,,
Cực kỳ tốt,,,positive,,,,,,,
hàng Trung Quốc chất lượng cao,,,,positive,,,,,,
mua dùng đi ace,,,positive,,,,,,,
ở nhà cầy game,,,,,positive,,,,,
chả có máy nào theo kịp,,,positive,,,,,,,
chỉ hơn 2tr,,,,,,,,neutral,,
cấu hình ổn,,,,,positive,,,,,
pin trâu,positive,,,,,,,,,
híp snapdragon 632,,,,,neutral,,,,,
mình rất rất ủng hộ vsmart,,,,positive,,,,,,
sản phẩm có thời lượng pin ấn tượng,positive,,,,,,,,,
sử dụng rất mượt,,,,,positive,,,,,
lại còn được tặng sạc dự phòng,,,,positive,,,,,,
quá tuyệt vời,,,positive,,,,,,,
"Bàn phím dởm, nhắn tin hay bị nhảy chữ",,,,,,,negative,,,
Pin thì lướt web đọc báo thôi mà một ngày cũng sạc ít nhất 2 lần,negative,,,,,,,,,
pin 3000 quá ổn,positive,,,,,,,,,
Mẫu mã thời trang,,,,,,positive,,,,
rất phù hợp cho người thu nhập thấp,,,,,,,,positive,,
"Xem phim , gọi zalo , nghe nhạc",,,,,neutral,,,,,
giá máy mới 1.390.000 vậy là được rồi,,,positive,,,,,,,
"camera máy cực kì tệ, chụp ảnh rất mờ dù mình canh kỹ, không run tay",,negative,,,,,,,,
"bắt wifi bị lỗi liên tục , cứ hiện dấu chấm than",,,,,,,negative,,,
Máy Tốt,,,positive,,,,,,,
Pin Trâu,positive,,,,,,,,,
"Lỗi Bị Rít,Khựng Màn Hình Khi chơi Game,cảm biến đa chạm bị giật lag",,,,,negative,,,,,
"máy thiết kế ổn , gờ màn hình nhô hơi cao so vs khung máy , còn mành hình thì viền hơi dày , đặc biệt chỗ giọt nc nhìn nó thô , xấu khi so vs giọt nc đt khác",,,,,,negative,,,,
Cam trước thì mờ khi quay video . Còn cam sau 48mp để làm màu thôi chứ chất lượng ảnh cx 12mp,,negative,,,,,,,,
"Pin của máy thì sạc lâu cực kì , pin dùng thì tụt nhanh như tụt quần",negative,,,,,,,,,
Cảm ứng máy mượt,,,,,,,positive,,,
đôi lúc lag khó chịu thật,,,,,negative,,,,,
"việc bắt sóng , sóng lúc nào cũng chập chờn 1 đến 2 cọc",,,,,,,negative,,,
sóng yếu quá,,,,,,,negative,,,
Dòng đt xiaomi redmi note 7 bắt sóng yếu n,,,,,,,negative,,,
Tạm ổn về pin,neutral,,,,,,,,,
 chơi liên quân khi quay màn hình ở góc k nhậy nắm,,,,,negative,,,,,
nói chung cũng ok,,,positive,,,,,,,
máy ngon lành . Dùng rất thích,,,positive,,,,,,,
nhân viên phục vụ tận tình giao hàng tận nơi nói chung là good,,,,positive,,,,,,
Pin tốt,positive,,,,,,,,,
Camera chất,,positive,,,,,,,,
Chất lượng tuyệt vời,,,positive,,,,,,,
Âm thanh to rõ,,,,,,,positive,,,
Chơi game không bị lad,,,,,positive,,,,,
"Pin xuống cực nhanh luôn, mấy hôm đầu xài còn tốt, giờ pin xuống",negative,,,,,,,,,
Máy ở ngoài đẹp hơn trong hình rất nhiều,,,,,,positive,,,,
nhân viên vui vẻ tư vấn nhiệt tình,,,,positive,,,,,,
Máy ngon không có gì để chê,,,positive,,,,,,,
"Pin hôm qua mua về là 40% xài tới hôm nay còn 12%,xài quài mà k hết để sạc",positive,,,,,,,,,
Camera sắc nét,,positive,,,,,,,,
"chiến game bao mượt,k nóng máy như lời đồn",,,,,positive,,,,,
Được giảm khuyến mãi kèm khách hàng thân thiết nên được giảm thêm máy chưa tới 5tr,,,,,,,,positive,,
Tổng thể thiết kế không chê vào đâu đc,,,positive,,,,,,,
Camera chụp hình bao đẹp,,positive,,,,,,,,
"Chơi pubg, liên quân bao mượt",,,,,positive,,,,,
pin con này so với con 5redmi 5plus thì con này hao pin nhanh hơn,negative,,,,,,,,,
mic thu âm ở những chỗ nhạc lớn hay bị rè ko rõ tiếng,,,,,,,negative,,,
Còn lại OK,,,positive,,,,,,,
"Nhân viên TGDĐ ở 184 Bùi Văn Hòa, Biên Hòa phục vụ nhiệt tình, chu đáo, nhanh gọn",,,,positive,,,,,,
xài ok,,,positive,,,,,,,
pin ổn định,positive,,,,,,,,,
game ổn,,,,,positive,,,,,
quá tốt cho chiếc đt này,,,positive,,,,,,,
"Nhân viên tư vấn nhiệt tình, về dịch vụ thì tgdd tuyệt rồi",,,,positive,,,,,,
"thất vọng về bản MIUI này, gọi điện và tin nhắn sử dụng của google chứ ko phải MiUI, mất Lịch của MiUi . Phải sử dụng lịch của google, bất tiện và xấu",,,,,negative,,,,,
"Pin trâu , sạc nhanh",positive,,,,,,,,,
Chụp ảnh đẹp nhưng quay vidieo và slowmoition ảnh màu cực xấu,,neutral,,,,,,,,
Nói chung là sẽ ổn áp về phần lớn,,,positive,,,,,,,
"pin thì tuột hơi nhanh hơn mình nghỉ, nhưng bù lại có sạc nhanh nên cũng bù lại đc phần nào",neutral,,,,,,,,,
ó đôi lúc bị đơ,,,,,negative,,,,,
lúc cắm sạc thì đt bị nóng lên,negative,,,,,,,,,
cam thì oppo vô đối rồi k phải bàn nhé,,positive,,,,,,,,
Kết luận dt này nếu các bạn mua vào dịp có lấy cũ đổi mới + thêm trợ giá thì giá sẽ okey hơn.,,,,positive,,,,,,
Chứ nếu mua vs giá hơn 8tr thì e nghỉ ko đáng để mua nhé,,,,,,,,negative,,
Chức năng ok,,,,,positive,,,,,
 camera tốt,,positive,,,,,,,,
 lướt mướt ok,,,,,positive,,,,,
 nói chung mọi thứ good,,,positive,,,,,,,
bin nhanh xuống lắm,negative,,,,,,,,,
máy này là vô địch,,,positive,,,,,,,
Chơi game ngon mượt,,,,,positive,,,,,
pin khủng,positive,,,,,,,,,
máy bị lỗi nhỏ phần đa nhiệm . Khi chơi pubg bấm đa nhiệm thì màn hình bị mờ rồi bị đơ nhẹ một tý mới thoát ra đa nhiệm được,,,,,negative,,,,,
pin quá trâu bò xem phim từ sáng đến chiều mà không hết pin đúng trâu bò,positive,,,,,,,,,
chơi game ổn định liên quân,,,,,positive,,,,,
chụp hình đẹp,,positive,,,,,,,,
pin khá trâu,positive,,,,,,,,,
dễ bám vân tay,,,,,,negative,,,,
bảo mật tốt trên nền tảng Androi,,,,,,,positive,,,
Cảm ơn Thegioididong.com đã đồng hành với mình và mọi người mang đến những sản phẩm tốt nhất cho người tiêu dùng,,,,positive,,,,,,
Thấy rất ok,,,positive,,,,,,,
Nói chung 1 sản phẩm tầm trung như thế này thì ko có j để chê cả nó quá tuyệt vời,,,positive,,,,,,,
giá 6tr,,,,,,,,neutral,,
Máy pin trâu,positive,,,,,,,,,
sai rất tốt,,,positive,,,,,,,
sóng điện thoại và wifi rất khỏe,,,,,,,positive,,,
không có hiệu tượng giực làng gì,,,,,neutral,,,,,
camera tạm được,,neutral,,,,,,,,
vân tay rất nhạy,,,,,,,positive,,,
giá thành lại rẻ,,,,,,,,positive,,
máy sạt khá nóng,negative,,,,,,,,,
nv nhiệt tinh chu dao,,,,positive,,,,,,
may thi OK,,,positive,,,,,,,
lưot rất muot,,,,,positive,,,,,
noi chung la hai long,,,positive,,,,,,,
màn hình LCD nhợt nhạt,,,,,,,,,negative,
"cam 48mp mà chụp nois không, cam trước thì quá tệ",,negative,,,,,,,,
Chip mạnh mà chơi Free Fire bị giật lag tung đít,,,,,negative,,,,,
pin tuột nhanh nữa,negative,,,,,,,,,
Giao diện cũng nhạt nữa,,,,,negative,,,,,
Máy sài tốt,,,positive,,,,,,,
"gọi video Zalo, hay Facebook là nhìn hình mình xấu quá",,negative,,,,,,,,
Sạc pin thì rất nhanh,positive,,,,,,,,,
"cầm máy nhẹ, đẹp",,,,,,positive,,,,
mướt,,,,,,,positive,,,
lúc đầu cũng bị loạn cảm ứng và đơ nhưng sau 2 bản cập nhật điện thoại êm hoàn toàn luon,,,,,neutral,,,,,
pin xài được lâu nữa,positive,,,,,,,,,
DM nhân viên tư vấn đéo chê chỗ nào,,,,positive,,,,,,
Máy thì đẹp,,,,,,positive,,,,
pin thì trâu,positive,,,,,,,,,
máy trên cả tuyệt vời,,,positive,,,,,,,
rất ổn,,,positive,,,,,,,
"con này thấy có nhìu cái hay quá, tốt trong tầm giá, đáng để trải nghiệm thử",,,positive,,,,,,,
"Nhiều lúc đang vào vẫn bị văng ra..hơi đơ đơ tí, mặc dù tải ít ứng dụng grap goviet zing mp3 shoppe thôi",,,,,negative,,,,,
pin cũng không trâu lắm đâu,negative,,,,,,,,,
tôi tháy máy chơi game rất mượt,,,,,positive,,,,,
1 trận 15p mất 4pin,positive,,,,,,,,,
rất ok,,,positive,,,,,,,
chụp ảnh thì rất đẹp các bạn ak,,positive,,,,,,,,
pin rất trâu,positive,,,,,,,,,
đặc biệt k nóng mấy,,,,,positive,,,,,
nói chung là tốt,,,positive,,,,,,,
máy chạy mượt các ứng dụng mở nhanh,,,,,positive,,,,,
cảm biến vân tay nhanh,,,,,,,positive,,,
camera chụp đẹp,,positive,,,,,,,,
sạc pin nhanh,positive,,,,,,,,,
Pin tụt hơi nhanh,negative,,,,,,,,,
Cam trước mờ cam sau rõ,,neutral,,,,,,,,
Chơi game thì ok,,,,,positive,,,,,
phù hợp trog tầm giá,,,positive,,,,,,,
Máy mới mua rất tốt,,,positive,,,,,,,
pin trâu,positive,,,,,,,,,
camera đẹp,,positive,,,,,,,,
nhân diện cũng khá nhanh,,,,,,,positive,,,
ko nóng máy,,,,,positive,,,,,
nói chung mình rất hài lòng,,,positive,,,,,,,
nhân viên thì rất lịch sự,,,,positive,,,,,,
trải nghiệm rất tuyệt,,,,,positive,,,,,
pin trâu chơi lq 1 trận bật gần max cấu hình mất có 3% / 13phút,positive,,,,,,,,,
xem youtube chụp ảnh nghe nhạc đều ok hết,,,,,,,positive,,,
nhân viên rất nhiệt tình và mấy chị ở đường 446 hữu hưng rất xinh nữa,,,,positive,,,,,,
máy ngon,,,positive,,,,,,,
rẻ bổ,,,,,,,,positive,,
"loa nghe nhỏ quá, đeo tai nghe mà nghe rất nhỏ",,,,,,,negative,,,
27 củ thì quá chat,,,,,,,,negative,,
Xài ngon,,,positive,,,,,,,
pin trâu,positive,,,,,,,,,
cấu hình mượt,,,,,positive,,,,,
camera không sắc nét như oppo,,negative,,,,,,,,
"mở khóa vân tay,khuôn mặt rất nhạy",,,,,,,positive,,,
điện thoại trong tầm giá chưa thấy ngon bằng em này,,,positive,,,,,,,
gọi video zalo nói người khác ko nghe đc,,,,,,,negative,,,
Máy mượt mà,,,,,positive,,,,,
Camera trước nịnh mắt phù hợp sống ảo. Cũng ko rõ lắm. Camera sau ổn,,positive,,,,,,,,
"Pin thì 1,5 ngày mới phải sạc",positive,,,,,,,,,
pin trâu,positive,,,,,,,,,
mượt,,,,,positive,,,,,
camera đẹp,,positive,,,,,,,,
giá 4-6tr,,,,,,,,positive,,
nên mua con này ngay đi nhé,,,positive,,,,,,,
Máy Sài tốt mọi chức năng,,,positive,,,,,,,
pin cực trâu,positive,,,,,,,,,
chơi game lướt wed rất tốt,,,,,positive,,,,,
cách phục vụ ở điện máy xanh rất nhiệt tình và dễ thương.mình mua rất nhiều sản phẩm ở đây cũng yên tâm lắm,,,,positive,,,,,,
VIvo y19 sự lựa chọn tuyệt vời,,,positive,,,,,,,
pin trâu chơi game lâu,positive,,,,,,,,,
camera tạm ổn,,neutral,,,,,,,,
tác vụ nhanh,,,,,positive,,,,,
ok,,,positive,,,,,,,
Sản phẩm quá tốt,,,positive,,,,,,,
"Đặt hàng online và đến tgdd được nhận hàng ngay. Nhân viên tư vấn tận tình, lịch sự. Cảm ơn Thế Giới Di Động đã luôn vì khách hàng",,,,positive,,,,,,
Tôi rất hài lòng về sản phẩm,,,positive,,,,,,,
cấu hình mạnh,,,,,positive,,,,,
cam đẹp,,positive,,,,,,,,
âm thanh được cải tiến rất tốt,,,,,,,positive,,,
Chất lượng dịch vụ tgdd rất tốt,,,,positive,,,,,,
lổi sao cứ quảng cáo che hết màng hình hoài không hết,,,,,negative,,,,,
điện thoại này quá tệ,,,negative,,,,,,,
"khởi động đã không lên phải dùng sạc mới lên nguồn, điện thoại tự động tắt nguồn dù còn đầy bin, khi tắc nguồn thì bật nguồn không lên được phải dùng sạc mới lên",,,,,negative,,,,,
giờ thì sạc bin không vào nữa,negative,,,,,,,,,
Xai rất tốt nha,,,positive,,,,,,,
mình cũng mới mua xài đẹp quá trời ,,,,,,positive,,,,
rat thich thái độ nhân viên điện máy Xanh tuyệt vời ông Mặt Trời luôn,,,,positive,,,,,,
Game lq tốt,,,,,positive,,,,,
bin trâu bò chơi lq 6 tiếng hết 60% pin,positive,,,,,,,,,
loa to wifi hút khỏe,,,,,,,positive,,,
Nói chung là ngon,,,positive,,,,,,,
Pin khá yếu sài bình thường ko game trụ 1 ngày,negative,,,,,,,,,
bắt wifi yếu hơn so vs android,,,,,,,negative,,,
thick hop cho ai cần hiệu năng còn vọc vạch nên xem xét xài Android tại ios khá gò bó và tù túng,,,,,neutral,,,,,
máy nhìn ưng mắt,,,,,,positive,,,,
chíp đồ họa rom là thấy ok rùi,,,,,positive,,,,,
pin iphone 7 tuột nhanh bá đạo,negative,,,,,,,,,
màn hình rổ,,,,,,,,,negative,
loa bật max máy rung tê tê,,,,,,,negative,,,
Xài rất ngon,,,positive,,,,,,,
Máy ko quá nóng khi max setting,,,,,positive,,,,,
"Pin lâu,sạc 30W thì khỏi bàn",positive,,,,,,,,,
Cam rõ nét,,positive,,,,,,,,
Đặt biệt nhân viên rất nhiệt tình,,,,positive,,,,,,
"Pin quá tệ, xạc đầy 100%, để 4g và lâu lâu check fb, zalo, trong vòng 7 tiếng đồng hồ rớt 50% pin, bó tay",negative,,,,,,,,,
"thất vọng về đt này, khuyên ko nên mua",,,negative,,,,,,,
"Nhân viên tận tình,nhiệt tình tư vấn hỗ trợ",,,,positive,,,,,,
sản phẩm mượt,,,,,positive,,,,,
tiếc là chạm được có 2 điểm trên màn hình,,,,,,,negative,,,
còn lại OK hết,,,positive,,,,,,,
Bảo mật rất kém,,,,,,,negative,,,
"chơi game bị lag , xem phim lướt web ok , dùng dòng chip quá nhỏ làm cho trải nghiệm tôi bị ảnh hưởng",,,,,neutral,,,,,
camera xấu đau xấu đớn,,negative,,,,,,,,
"Sạc pin quá nóng máy, không thể chấp nhận được",negative,,,,,,,,,
Sạc nó nổ thì sao,negative,,,,,,,,,
pin tụt hơi nhanh,negative,,,,,,,,,
Còn lại mấy khác cũng ổn,,,neutral,,,,,,,
Buồn khoản pin,negative,,,,,,,,,
điện thoại vẫn tốt,,,positive,,,,,,,
"Đôi lúc chơi game nặng hay bị thoát ra thôi, liên quân , free Fire vẫn chơi đc",,,,,neutral,,,,,
pin vẫn bình thường,positive,,,,,,,,,
Máy đẹp,,,,,,positive,,,,
tất cả các tác vụ thông thường đều không mượt bằng note 8pro lướt web chơi game cũng vậy,,,,,negative,,,,,
đổi từ note 8 pro lên thì thấy thất vọng,,,negative,,,,,,,
"máy quá tệ, thật thất vọng",,,negative,,,,,,,
máy bị lỗi màn hình,,,,,,,,,negative,
chơi game ko được mượt làm,,,,,negative,,,,,
máy hay bị nóng bất thường,,,,,negative,,,,,
thích mỗi tính năng chặn dc các cuộc gọi lạ,,,,,,,positive,,,
pin cũng tạm được,neutral,,,,,,,,,
hơi thất vọng so với những gì máy mang lại. Một lời khuyên chân thành đừng nên mua em này,,,negative,,,,,,,
tiếc tiền lắm,,,,,,,,negative,,
ĐT đẹp,,,,,,positive,,,,
xịn xịn,,,positive,,,,,,,
Pin trâu,positive,,,,,,,,,
game mượt không lag,,,,,positive,,,,,
đáng giá tiền,,,,,,,,positive,,
Tiếc vì k có tặng kèm ốp dẻo thôi,,,,negative,,,,,,
Không xứng đáng với mức giá gần 7 triệu,,,,,,,,negative,,
Pin trâu,positive,,,,,,,,,
máy dùng rất ok,,,positive,,,,,,,
Lướt web chơi game khá mượt,,,,,positive,,,,,
Thiết kế đẹp,,,,,,positive,,,,
lại có màn hình nốt ruồi,,,,,,,,,positive,
mở khóa vân tay rất tệ phải 2.3 lần mới được,,,,,,,negative,,,
nhanh hết điện nếu dùng liên tục chắc được chắc tầm 8h,negative,,,,,,,,,
"camera chụp hình nhìn kg được nét , phóng hình to nhìn rất bể và mờ dù đã chỉnh mọi chế độ . - đèn pin thì tối",negative,,,,,,,,,
nói chung đem ra xo với con j5 cũ những chức năng note10 này còn thua,,,negative,,,,,,,
Máy quá đẹp,,,,,,positive,,,,
sử dụng cho công việc thật tuyệt vời. Công nghệ bảo mật dữ liệu hoạt động cực kỳ hiệu quả,,,,,,,positive,,,
Pin trâu,positive,,,,,,,,,
sóng khoẻ loa ngoài to,,,,,,,positive,,,
nói chúng là ok hơn nokia,,,positive,,,,,,,
đáng đồng tiền.k có gì phải phàn nàn,,,positive,,,,,,,
"Máy bắt wifi rất kém. Mới mua hơn 1 tháng ở thế giới di động, nhưng đang sài wifi thì máy tự ven ra",,,,,,,negative,,,
K bao giờ mua xiaomi nữa,,,,negative,,,,,,
Loạn cảm ứng tùm lum,,,,,,,negative,,,
Vô game hay HK vô j thì nó cứ chớp tắt màng hình r xài làm gì đc,,,,,negative,,,,,
"Đi lên TGDD thì bọn nhân viên đổ thừa tải nhiều game vs chưa cập nhật hệ thống, vs do ứng dụng chưa tương thích vs đt, vậy giờ cả đóng ứng dụng bị chóp tắt màng hình là do máy hay do ứng dụng. Tức gì đâu á tr. Hối hận khi nghe bọn nhân viên lừa gạt",,,,negative,,,,,,
Dùng ổn,,,positive,,,,,,,
Giá lại phải chăng,,,,,,,,positive,,
Ổn,,,positive,,,,,,,
màn hình cs sước nhẹ,,,,,,,,,negative,
Nhân viên Giao hàng lịch sự,,,,positive,,,,,,
máy chạy cx ổn,,,,,positive,,,,,
camera rất tuyệt,,positive,,,,,,,,
điện thoại nó chậm quá,,,,,negative,,,,,
Wifi mạnh mà coi youtube thì vào tới bếp là quay vòng vòng ko xem được nữa,,,,,,,negative,,,
tạm biệt dòng Vivo luôn,,,,negative,,,,,,
máy sài vẫn rất ngon,,,positive,,,,,,,
máy đẹp,,,,,,positive,,,,
cấu hình ổn,,,,,positive,,,,,
camera đẹp,,positive,,,,,,,,
liên quân ok,,,,,positive,,,,,
Sạc 2 & 3h là đầy,positive,,,,,,,,,
bị lỗi ám vàng màn hình,,,,,,,,,negative,
Loa thoại lúc ghe đc lúc k nghe đc,,,,,,,negative,,,
còn lại thì vẫn tốt,,,positive,,,,,,,
bị hư lỗ cắm tai nghe,,,,,,negative,,,,
khi gọi cho người khác thì màn hình bị tắt,,,,,,,,,negative,
Hài lòng nhân viên,,,,positive,,,,,,
sản phẩm,,,positive,,,,,,,
Máy xấu ỉn dày cui,,,,,,negative,,,,
"màn hình cực kỳ xấu xí chất lượng kém, xài bị hoa mắt đau đầu chóng mặt",,,,,,,,,negative,
"Về camera thì máy chỉ tạm ổn khi chụp trong điều kiện đủ sáng, nếu chụp thiếu sáng trông rất tệ",,negative,,,,,,,,
"Pin phải nói là cực trâu, còn sạc thì tầm hơn 2 h là đầy",positive,,,,,,,,,
"Chơi game LQ thì máy đáp ứng tốt, không có hiênh tượng giật lag gì",,,,,positive,,,,,
sóng sánh có vẻ không được tốt cho lắm,,,,,,,negative,,,
Mua ủng hộ chú Vượng. mong Vsmart sẽ ngày càng phát triển,,,,positive,,,,,,
Đt ngon,,,positive,,,,,,,
pin trâu,positive,,,,,,,,,
 bảo mật vân tay và khuôn mặt nhạy,,,,,,,positive,,,
"khá hài lòng, nhân viên nhiệt tình",,,,positive,,,,,,
Quá tuyệt,,,positive,,,,,,,
Giá rẻ,,,,,,,,positive,,
xịn hơn cả samsungRất hà lòng,,,positive,,,,,,,
mong mọi người sẽ ủng hộ Vsmart,,,,positive,,,,,,
thật sự là sản phẩm tốt,,,positive,,,,,,,
ok,,,positive,,,,,,,
"mượt nhạy, nhanh",,,,,positive,,,,,
6/64 gb là vừa,,,,,,,,,,positive
pin ok,positive,,,,,,,,,
Sản phẩm tốt,,,positive,,,,,,,
 pin trâu,positive,,,,,,,,,
nhân viên phục vụ nhiệt tình,,,,positive,,,,,,
nhưng ko có tai nghe,,,,negative,,,,,,
tầm 5.6 tr mới có sp rẻ như vậy đc r,,,,,,,,positive,,
sạc bắt đầu từ 17h30 còn 17% đến 21h mới lên dk 87% pin .và máy để từ 23h30 đến sáng 5h bị tụt hết 16% pin,negative,,,,,,,,,
Mấy sai tốt ko có gì tui ko hài cả,,,positive,,,,,,,
Cấu hình mạnh ko nóng mấy,,,,,positive,,,,,
Cầm dể chịu Nhưng mà bỏ túi thì khó chịu,,,,,,neutral,,,,
máy rất ok trong tầm giá,,,positive,,,,,,,
âm thanh khi gọi đến hơi bé và khi mình nghe đện thoại âm thanh phát ra ngoài nhiều quá giống như bật loa ngoại vậy,,,,,,,negative,,,
nhân viên tgdđ tư vấn rất nhiệt tình,,,,positive,,,,,,
cảm thấy ổn,,,positive,,,,,,,
chơi game máy không bị nóng cũng như không bị giật lag,,,,,positive,,,,,
camera tạm ổn,,neutral,,,,,,,,
nói chung rất ngon so với tầm giá,,,positive,,,,,,,
Máy cấu hình cao nhưng quá trình sủ dụng rất hay treo ứng dụng và bị đơ máy rất khó chịu,,,,,negative,,,,,
máy máy mượt,,,,,positive,,,,,
cam hơi ảo tí,,neutral,,,,,,,,
pin trâu cuc kì,positive,,,,,,,,,
mình thấy đáng mua,,,positive,,,,,,,
Pin mau hết,negative,,,,,,,,,
nóng máy khi chạy wifi 3g càng nóng,,,,,negative,,,,,
van ✋ không thực nhảy.nhieu nuc không đc,,,,,,,negative,,,
cảm thấy không hài lòng,,,negative,,,,,,,
pin 5000 tụt khá nhanh 100% chỉ xem youtube lướt wed 2h liên tục thì còn khoảng 50 mấy % để đêm đến sáng còn 30 mấy %,negative,,,,,,,,,
camera bị lỗi k sf đc,,negative,,,,,,,,
chán thật sự,,,negative,,,,,,,
lần đâu xài hãng xiaomi như v thì thất vọng quá rồi,,,,negative,,,,,,
San phâm tốt. Xài tây ok,,,positive,,,,,,,
cảm thấy rất tiết kiệm bin luôn,positive,,,,,,,,,
Sản phẩm rất tuyệt,,,positive,,,,,,,
chơi game thì bao mượt thôi rồi luôn,,,,,positive,,,,,
thích nhất là viên pin 5000 Mah xài tận 2 ngày mới hết,positive,,,,,,,,,
Giá lại rẻ nữa,,,,,,,,positive,,
mình thấy bắt tốt lắm nhé,,,,,,,positive,,,
Dt tốt,,,positive,,,,,,,
không có gì mà mình có thể chê được,,,positive,,,,,,,
 pin 5000 mah rất trâu bò để dùng cho 1 ngày,positive,,,,,,,,,
pupg để mượt cao chơi khá ok,,,,,positive,,,,,
Thế giới di động bán toàn máy lỗi đổi trả lại rất khó khăn,,,,negative,,,,,,
Mua cái redmi 8 lỗi tùm lum,,,negative,,,,,,,
đổi ko cho đổi,,,,negative,,,,,,
dùng 1 lúc nóng máy,,,,,negative,,,,,
 pin 5000 dùng k bằng máy cũ của mình,negative,,,,,,,,,
nhân viên giới thiệu tốt lắm,,,,positive,,,,,,
dùng ổn,,,positive,,,,,,,
pin tụt hơi nhanh,negative,,,,,,,,,
may mà có sạc nhanh,positive,,,,,,,,,
koi thấy độ phân giải màn hình quá kém,,,,,,,,,negative,
pin thì trâu,positive,,,,,,,,,
màu sắc vỏ điện thoại nói chung ko ưng ý cho lắm,,,,,,negative,,,,
Sản phẩm khá ngon,,,positive,,,,,,,
Chơi game vẫn ok dù máy hơi nóng,neutral,,,,,,,,,
pin k trâu lắm,negative,,,,,,,,,
Lúc đầu thấy ổn nhưng giờ thì hơi tệ rồi,,,negative,,,,,,,
Một đêm đến sáng nếu không bật chế độ tiết kiệm pin tối đa thì mất hết gần 15 %,negative,,,,,,,,,
Mk mới Sài được 15p thì máy đã nóng rồi. Đôi khi để đó k Sài mà máy cũng nóng nữa,,,,,negative,,,,,
Camera thì mờ,,negative,,,,,,,,
Pin xài được lâu mà sạc cũng nhanh đầy nữa,positive,,,,,,,,,
Mình chọn màu aura bạn bè ai cũng khen hết,,,,,,positive,,,,
Chơi game thì thì ok,,,,,positive,,,,,
chụp ảnh thì cực nét luôn,,positive,,,,,,,,
Nhân viên thì nhiệt tình quá trời,,,,positive,,,,,,
Khá lá đep,,,,,,positive,,,,
dùng ổn,,,positive,,,,,,,
có thương hiệu,,,,positive,,,,,,
"mong các sp nokia về sau cải thiện hơn về chip, ram",,,,,negative,,,,,
pin,negative,,,,,,,,,
